date_id,order_date,month,quarter,year
1,2023-03-01,3,1,2023
2,2023-12-13,12,4,2023
3,2023-07-14,7,3,2023
4,2023-10-21,10,4,2023
5,2023-03-06,3,1,2023
6,2023-02-13,2,1,2023
7,2023-07-27,7,3,2023
8,2023-08-14,8,3,2023
9,2023-08-08,8,3,2023
10,2023-05-25,5,2,2023
11,2023-08-05,8,3,2023
12,2023-07-12,7,3,2023
13,2023-01-27,1,1,2023
14,2023-11-23,11,4,2023
15,2023-06-07,6,2,2023
16,2023-07-15,7,3,2023
17,2023-05-07,5,2,2023
18,2023-07-23,7,3,2023
19,2023-08-01,8,3,2023
20,2023-02-14,2,1,2023
21,2023-03-14,3,1,2023
22,2023-06-02,6,2,2023
23,2023-05-22,5,2,2023
24,2023-12-22,12,4,2023
25,2023-02-17,2,1,2023
26,2023-12-14,12,4,2023
27,2023-02-15,2,1,2023
28,2023-08-27,8,3,2023
29,2023-10-19,10,4,2023
30,2023-05-02,5,2,2023
31,2023-09-24,9,3,2023
32,2023-02-24,2,1,2023
33,2023-03-31,3,1,2023
34,2023-01-07,1,1,2023
35,2023-09-10,9,3,2023
36,2023-12-19,12,4,2023
37,2023-10-06,10,4,2023
38,2023-02-09,2,1,2023
39,2023-08-30,8,3,2023
40,2023-07-29,7,3,2023
41,2023-12-24,12,4,2023
42,2023-05-18,5,2,2023
43,2023-10-29,10,4,2023
44,2023-07-08,7,3,2023
45,2023-01-17,1,1,2023
46,2023-12-25,12,4,2023
47,2023-10-23,10,4,2023
48,2023-10-13,10,4,2023
49,2023-10-11,10,4,2023
50,2023-03-03,3,1,2023
51,2023-01-22,1,1,2023
52,2023-11-05,11,4,2023
53,2023-09-08,9,3,2023
54,2023-10-22,10,4,2023
55,2023-04-23,4,2,2023
56,2023-08-12,8,3,2023
57,2023-02-01,2,1,2023
58,2023-01-19,1,1,2023
59,2023-02-19,2,1,2023
60,2023-06-27,6,2,2023
61,2023-11-27,11,4,2023
62,2023-03-11,3,1,2023
63,2023-06-19,6,2,2023
64,2023-07-11,7,3,2023
65,2023-05-19,5,2,2023
66,2023-10-18,10,4,2023
67,2023-05-05,5,2,2023
68,2023-02-21,2,1,2023
69,2023-01-14,1,1,2023
70,2023-04-20,4,2,2023
71,2023-06-01,6,2,2023
72,2023-09-07,9,3,2023
73,2023-07-17,7,3,2023
74,2023-06-17,6,2,2023
75,2023-07-03,7,3,2023
76,2023-11-11,11,4,2023
77,2023-03-29,3,1,2023
78,2023-06-16,6,2,2023
79,2023-10-16,10,4,2023
80,2023-10-17,10,4,2023
81,2023-02-22,2,1,2023
82,2023-01-16,1,1,2023
83,2023-10-27,10,4,2023
84,2023-08-19,8,3,2023
85,2023-03-22,3,1,2023
86,2023-12-21,12,4,2023
87,2023-12-31,12,4,2023
88,2023-04-14,4,2,2023
89,2023-07-10,7,3,2023
90,2023-11-09,11,4,2023
91,2023-11-29,11,4,2023
92,2023-04-29,4,2,2023
93,2023-07-16,7,3,2023
94,2023-07-21,7,3,2023
95,2023-06-21,6,2,2023
96,2023-04-05,4,2,2023
97,2023-01-21,1,1,2023
98,2023-06-05,6,2,2023
99,2023-02-11,2,1,2023
100,2023-09-02,9,3,2023
101,2023-09-11,9,3,2023
102,2023-04-16,4,2,2023
103,2023-09-19,9,3,2023
104,2023-05-12,5,2,2023
105,2023-09-27,9,3,2023
106,2023-07-31,7,3,2023
107,2023-03-13,3,1,2023
108,2023-06-13,6,2,2023
109,2023-03-23,3,1,2023
110,2023-06-04,6,2,2023
111,2023-11-18,11,4,2023
112,2023-04-01,4,2,2023
113,2023-02-03,2,1,2023
114,2023-07-22,7,3,2023
115,2023-10-03,10,4,2023
116,2023-10-28,10,4,2023
117,2023-05-14,5,2,2023
118,2023-09-12,9,3,2023
119,2023-06-28,6,2,2023
120,2023-05-04,5,2,2023
121,2023-03-28,3,1,2023
122,2023-11-03,11,4,2023
123,2023-07-20,7,3,2023
124,2023-06-29,6,2,2023
125,2023-09-18,9,3,2023
126,2023-02-12,2,1,2023
127,2023-12-11,12,4,2023
128,2023-01-29,1,1,2023
129,2023-11-10,11,4,2023
130,2023-10-20,10,4,2023
131,2023-11-19,11,4,2023
132,2023-11-13,11,4,2023
133,2023-03-17,3,1,2023
134,2023-01-31,1,1,2023
135,2023-10-31,10,4,2023
136,2023-03-16,3,1,2023
137,2023-11-21,11,4,2023
138,2023-10-08,10,4,2023
139,2023-08-09,8,3,2023
140,2023-02-05,2,1,2023
141,2023-12-05,12,4,2023
142,2023-10-30,10,4,2023
143,2023-06-30,6,2,2023
144,2023-06-15,6,2,2023
145,2023-07-25,7,3,2023
146,2023-05-26,5,2,2023
147,2023-04-06,4,2,2023
148,2023-04-07,4,2,2023
149,2023-05-21,5,2,2023
150,2023-10-01,10,4,2023
151,2023-05-08,5,2,2023
152,2023-11-12,11,4,2023
153,2023-09-21,9,3,2023
154,2023-08-23,8,3,2023
155,2023-03-12,3,1,2023
156,2023-06-09,6,2,2023
157,2023-01-13,1,1,2023
158,2023-02-28,2,1,2023
159,2023-02-27,2,1,2023
160,2023-06-25,6,2,2023
161,2023-03-30,3,1,2023
162,2023-12-08,12,4,2023
163,2023-07-19,7,3,2023
164,2023-08-24,8,3,2023
165,2023-09-28,9,3,2023
166,2023-02-20,2,1,2023
167,2023-03-05,3,1,2023
168,2023-03-10,3,1,2023
169,2023-05-16,5,2,2023
170,2023-05-03,5,2,2023
171,2023-03-20,3,1,2023
172,2023-03-21,3,1,2023
173,2023-07-18,7,3,2023
174,2023-10-05,10,4,2023
175,2023-06-18,6,2,2023
176,2023-09-06,9,3,2023
177,2023-10-09,10,4,2023
178,2023-07-13,7,3,2023
179,2023-02-23,2,1,2023
180,2023-11-24,11,4,2023
181,2023-08-20,8,3,2023
182,2023-08-06,8,3,2023
183,2023-03-02,3,1,2023
184,2023-06-08,6,2,2023
185,2023-11-30,11,4,2023
186,2023-12-03,12,4,2023
187,2023-01-24,1,1,2023
188,2023-12-02,12,4,2023
189,2023-07-07,7,3,2023
190,2023-04-27,4,2,2023
191,2023-08-03,8,3,2023
192,2023-10-14,10,4,2023
193,2023-08-25,8,3,2023
194,2023-03-24,3,1,2023
195,2023-05-23,5,2,2023
196,2023-01-28,1,1,2023
197,2023-11-25,11,4,2023
198,2023-03-09,3,1,2023
199,2023-05-28,5,2,2023
200,2023-10-15,10,4,2023
201,2023-07-01,7,3,2023
202,2023-04-24,4,2,2023
203,2023-12-27,12,4,2023
204,2023-04-11,4,2,2023
205,2023-06-24,6,2,2023
206,2023-06-11,6,2,2023
207,2023-04-08,4,2,2023
208,2023-08-02,8,3,2023
209,2023-05-24,5,2,2023
210,2023-12-16,12,4,2023
211,2023-04-21,4,2,2023
212,2023-04-22,4,2,2023
213,2023-02-10,2,1,2023
214,2023-08-17,8,3,2023
215,2023-09-16,9,3,2023
216,2023-10-04,10,4,2023
217,2023-10-02,10,4,2023
218,2023-12-04,12,4,2023
219,2023-01-02,1,1,2023
220,2023-12-30,12,4,2023
221,2023-11-14,11,4,2023
222,2023-06-03,6,2,2023
223,2023-12-18,12,4,2023
224,2023-10-10,10,4,2023
225,2023-11-08,11,4,2023
226,2023-08-26,8,3,2023
227,2023-04-13,4,2,2023
228,2023-07-04,7,3,2023
229,2023-05-13,5,2,2023
230,2023-07-02,7,3,2023
231,2023-10-07,10,4,2023
232,2023-02-07,2,1,2023
233,2023-01-18,1,1,2023
234,2023-08-10,8,3,2023
235,2023-09-29,9,3,2023
236,2023-04-25,4,2,2023
237,2023-07-30,7,3,2023
238,2023-09-23,9,3,2023
239,2023-04-15,4,2,2023
240,2023-08-11,8,3,2023
241,2023-03-19,3,1,2023
242,2023-02-02,2,1,2023
243,2023-11-26,11,4,2023
244,2023-08-16,8,3,2023
245,2023-07-06,7,3,2023
246,2023-09-09,9,3,2023
247,2023-03-18,3,1,2023
248,2023-09-20,9,3,2023
249,2023-05-11,5,2,2023
250,2023-05-01,5,2,2023
251,2023-12-29,12,4,2023
252,2023-12-10,12,4,2023
253,2023-12-09,12,4,2023
254,2023-12-12,12,4,2023
255,2023-01-12,1,1,2023
256,2023-06-14,6,2,2023
257,2023-04-17,4,2,2023
258,2023-01-01,1,1,2023
259,2023-05-30,5,2,2023
260,2023-12-15,12,4,2023
261,2023-03-27,3,1,2023
262,2023-02-16,2,1,2023
263,2023-09-14,9,3,2023
264,2023-12-06,12,4,2023
265,2023-04-18,4,2,2023
266,2023-12-20,12,4,2023
267,2023-08-18,8,3,2023
268,2023-11-15,11,4,2023
269,2023-08-13,8,3,2023
270,2023-10-12,10,4,2023
